factor,ret_1,ret_3,ret_5,ret_10,ret_20,ret_60,ret_120,volatility_5,volatility_10,volatility_20,volatility_60,amplitude_5,amplitude_10,amplitude_20,volume_mean_5,volume_mean_20,volume_mean_60,amount_mean_5,amount_mean_20,amount_mean_60,turnover_mean_5,turnover_mean_20,turnover_mean_60,corr_ret_volume_10,corr_ret_volume_20,corr_close_volume_20,corr_ret_amount_20,volume_chg_5_20,amount_chg_5_20,turnover_chg_5_20,close_to_high_20,close_to_low_20,close_position_20,close_position_60,ret_20_div_vol_20,ret_60_div_vol_60
ret_1,1.0,0.5162985613937324,0.39672838178997366,0.2762210014761667,0.1847794854954752,0.11538034339598513,0.09374044564914653,-0.0011320128325199852,-0.02168434594094628,-0.035814923723047065,-0.046805714000184524,-0.023445944136210206,-0.03429394206149736,-0.03541421320476219,0.023408955181486026,0.012898537305938615,0.014003144945809698,-0.01672817156454188,-0.03072622437423381,-0.033620780948018555,-0.038303818824683526,-0.047548902440487845,-0.0492005109537001,0.12297454737926071,0.06474659259924306,0.048138117021046964,0.06380951845628402,0.046337922977897496,0.0529205135791693,0.045957059064165806,0.3157697174299329,0.28127872961021716,0.3356505852261908,0.20274092944018318,0.184152115477089,0.11572962348817309
ret_3,0.5162985613937324,1.0,0.7329519037660466,0.502271019666624,0.33683671449840585,0.18712909850709744,0.1473501732790629,0.06379616993231259,0.00858871389942481,-0.023573902378231964,-0.04865779396642554,0.000632508990634397,-0.02934843691899318,-0.03608457456261385,0.05775497745046497,0.024234079049706533,0.019940849328346544,0.01888421460014087,-0.029169373727238226,-0.03876821210921776,-0.01839475753535635,-0.051341691229358694,-0.0572896856780256,0.27903023519920933,0.1638839898593199,0.12165218134961246,0.15985437951765252,0.15265341396769902,0.17797343324519801,0.15185462224688834,0.48502143931140673,0.45597898427659933,0.5370969688602473,0.3364758591671707,0.3327873407002236,0.18975819602502333
ret_5,0.39672838178997366,0.7329519037660466,1.0,0.662387637730503,0.4442004083139633,0.2371701202345053,0.18442535998902637,0.11267713834474552,0.03740584210415124,-0.010966071439602546,-0.04564520609747335,0.03585463755715287,-0.02034403664823178,-0.03304288234716209,0.08739121417969739,0.031622158234908944,0.021318511451615133,0.05777496788021542,-0.023906403772133714,-0.041475659409090725,0.0031929156641855513,-0.05122328076580083,-0.06153216160559895,0.38280631312073216,0.23095692583903368,0.1699329078468681,0.22413638653466003,0.2528199335561311,0.3036027442106225,0.25163890952822193,0.5678810713883876,0.5490956015976237,0.6447001524538564,0.4207149501354246,0.43518603850430754,0.241164128192136
ret_10,0.2762210014761667,0.502271019666624,0.662387637730503,1.0,0.6600578338672082,0.33646315294136,0.25902240196607224,0.09956476064854217,0.10169404717682706,0.02013591670575689,-0.040519935379408366,0.07071532609583202,0.020087836026461924,-0.022975192990000812,0.1212006687625203,0.059880118699648294,0.03285031510479966,0.09822662790315165,-0.0029915407067625187,-0.04418510865817145,0.015758437774982138,-0.04243127106283094,-0.06555549964221948,0.6041910145266249,0.35913565614746573,0.24478058420093154,0.34784403152110827,0.2869319145712699,0.38568603531790996,0.28551564218594133,0.6590286928949945,0.6687351423383195,0.779190136460897,0.5603584177140498,0.6356190088375119,0.34023393902434784
ret_20,0.1847794854954752,0.33683671449840585,0.4442004083139633,0.6600578338672082,1.0,0.4902246549160136,0.37081664597984454,0.10487022914150719,0.11010668643590023,0.08315250174853517,-0.03636258077244077,0.0973680423086891,0.06406975778209084,0.0035414366760011867,0.14807269773115717,0.11267451004862021,0.052995417248356554,0.1236670447045333,0.051591289429703806,-0.04411637881541265,0.014468109069911595,-0.0211365143672665,-0.07312607403496325,0.39776356352722003,0.5630835466664328,0.3038689880035342,0.5502980133248565,0.1740638338999143,0.2784441611980623,0.17394869196930426,0.6226098060311165,0.6769794500445957,0.7735047444637687,0.7162619255624948,0.9447101895053479,0.4903864864605546
ret_60,0.11538034339598513,0.18712909850709744,0.2371701202345053,0.33646315294136,0.4902246549160136,1.0,0.6603978557430065,0.07920209018447276,0.08709419288104332,0.0887381263619449,0.04969850050191334,0.08711185516776228,0.06837936505055996,0.0470881705281309,0.17525376093480352,0.17260679559126058,0.142657163514423,0.1268161488205959,0.11019426269646354,0.03263238014329196,-0.038982704301569575,-0.044735914897900374,-0.06872444900449816,0.11937272270421216,0.16689521324529086,0.1981358467741954,0.16104545279727647,0.020429835670761867,0.07524680149388792,0.021086412271290246,0.2678571292105193,0.3432711797673253,0.36827738676629473,0.7495773495530672,0.47461815941203944,0.9595077210737926
ret_120,0.09374044564914653,0.1473501732790629,0.18442535998902637,0.25902240196607224,0.37081664597984454,0.6603978557430065,1.0,0.06391386922841213,0.06450544218391002,0.06262156813632432,0.036562373669705765,0.057248991801709365,0.039026257781473526,0.016983859430223885,0.23664525978064993,0.2354665206656542,0.22054069911222804,0.14995242054682606,0.13415671974986865,0.08541577464279014,-0.08063935033465851,-0.08867621002444963,-0.10781221395313975,0.03579947356585885,0.029917079767863137,0.09080154759335228,0.026752479960082204,0.02591004651261829,0.0670980226286351,0.027003588351105567,0.21592266637913277,0.25185907822581666,0.2821874734378749,0.517700145546242,0.37134810492696146,0.655374047618422
volatility_5,-0.0011320128325199852,0.06379616993231259,0.11267713834474552,0.09956476064854217,0.10487022914150719,0.07920209018447276,0.06391386922841213,1.0,0.8065630403220387,0.7087266368845777,0.6259815824195857,0.7447502256654622,0.6484553404441495,0.585705913719694,0.05133057123883678,-0.017700977483391833,-0.053433426415046024,0.43942082741901756,0.3621221181838318,0.3211735149324708,0.5200230569445067,0.445226774587874,0.4079667014512562,0.11688541016833931,0.11431230766640539,0.0541992939950335,0.11667129579259357,0.32902475614233945,0.32409463118908266,0.3275429968122406,-0.24058365986270924,0.41584832086580525,0.11780588557625386,0.11734019007728162,0.1265138761528749,0.10209066175023607
volatility_10,-0.02168434594094628,0.00858871389942481,0.03740584210415124,0.10169404717682706,0.11010668643590023,0.08709419288104332,0.06450544218391002,0.8065630403220387,1.0,0.8687529344355835,0.7570660551798356,0.7682683377779268,0.8012689265778056,0.7141023342827538,0.027070265674985963,-0.014712440854101165,-0.06228153219987777,0.4736689353473921,0.43308552893410834,0.3784745656295825,0.5807198311006011,0.5416386235745576,0.4920508390167865,0.13876701003702072,0.13572107070691017,0.06483870733495371,0.13778239716592902,0.18338759186819648,0.1849294323260604,0.18211264577873423,-0.3283973449534347,0.4718601301497804,0.0997308784936948,0.11721292537435546,0.13365393813918178,0.11292316118510547
volatility_20,-0.035814923723047065,-0.023573902378231964,-0.010966071439602546,0.02013591670575689,0.08315250174853517,0.0887381263619449,0.06262156813632432,0.7087266368845777,0.8687529344355835,1.0,0.8629765260723082,0.7453390544441794,0.7873085922635629,0.8192332422762724,-0.00043639294804389704,-0.003137488923654064,-0.061157148372624016,0.48043234517851974,0.4936061206938435,0.42611703833196163,0.6080809212084116,0.6197007218597202,0.5586205723533587,0.07214356975519165,0.1297704306477014,0.0691840846327931,0.13264090565893574,-0.00904967614888723,-0.007983465273015218,-0.010299006497050444,-0.43324278784340475,0.4731675039535581,0.04112026708841724,0.09526241138667885,0.10773861116474767,0.11511437850490551
